price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.505,0.525,0.525,0.525,0.525,0.525,0.52,0.505,0.515,0.535,0,0.505,0.525,0.515,60,38086.890151000036,0,0
0.5,0.505,0.505,0.505,0.515,0.525,0.52,0.525,0.515,0.525,0,0.505,0.525,0.52,60,31031.14471899997,0,0
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.505,0.495,0.5,3,0.495,0.495,0.495,60,31159.721263,0,0
0.485,0.52,0.52,0.52,0.52,0.52,0.515,0.505,0.505,0.505,1,0.515,0.52,0.51,60,33601.399262999985,0,0
0.505,0.48,0.485,0.485,0.485,0.48,0.48,0.495,0.465,0.465,1,0.485,0.48,0.475,60,38916.181297,0,1
0.5,0.495,0.495,0.495,0.495,0.495,0.495,0.5,0.505,0.5,2,0.495,0.495,0.505,60,64418.2250849999,0,1
0.51,0.495,0.495,0.485,0.485,0.485,0.485,0.495,0.495,0.48,1,0.495,0.485,0.495,60,50667.649956000016,0,1
0.5,0.505,0.505,0.505,0.505,0.505,0.535,0.535,0.535,0.535,2,0.505,0.505,0.535,60,74763.30012499986,0,0
0.505,0.505,0.505,0.51,0.46,0.465,0.46,0.495,0.495,0.505,2,0.505,0.46,0.495,60,107160.41362499996,0,0
0.505,0.515,0.515,0.52,0.505,0.52,0.515,0.505,0.505,0.505,4,0.515,0.505,0.5,60,86404.74546899993,0,1
0.495,0.445,0.445,0.46,0.455,0.45,0.45,0.495,0.495,0.495,0,0.445,0.45,0.495,60,39674.84707000001,0,1
0.515,0.505,0.51,0.485,0.515,0.515,0.515,0.515,0.515,0.505,2,0.515,0.515,0.525,60,67770.983927,0,0
0.5,0.495,0.495,0.46,0.485,0.49,0.49,0.495,0.49,0.465,3,0.495,0.485,0.465,60,69851.38240399992,0,1
0.505,0.495,0.465,0.465,0.465,0.465,0.465,0.455,0.465,0.445,1,0.495,0.465,0.465,60,71214.79972000005,0,0
0.5,0.495,0.495,0.495,0.495,0.495,0.495,0.505,0.505,0.48,5,0.495,0.495,0.48,60,80671.53312799995,0,1
0.5,0.495,0.495,0.495,0.485,0.49,0.485,0.485,0.48,0.475,3,0.495,0.485,0.505,60,94186.82808800005,0,1
0.495,0.51,0.5,0.49,0.495,0.49,0.475,0.48,0.485,0.455,8,0.495,0.51,0.465,60,40573.370286999976,0,1
0.495,0.485,0.485,0.485,0.495,0.495,0.47,0.475,0.475,0.475,0,0.485,0.495,0.475,60,34175.38122700003,0,1
0.5,0.505,0.505,0.505,0.475,0.475,0.475,0.475,0.485,0.475,3,0.505,0.475,0.475,60,40612.907238999986,0,0
0.5,0.455,0.45,0.465,0.465,0.465,0.465,0.465,0.465,0.465,1,0.495,0.465,0.465,60,55724.689076999995,0,1
0.505,0.495,0.495,0.5,0.5,0.505,0.505,0.5,0.495,0.495,3,0.495,0.505,0.495,60,43273.62351599997,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.455,1,0.505,0.505,0.47,60,27832.118647,0,0
